construct,well,production_date,dna_transfection_micrograms,dna_preparation_concentration,positions,,,,
376dot6135,B05,P05-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,B06,P05-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,B07,P05-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot16729,B08,P05-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot16906,B09,P05-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot16967,B10,P05-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot3019,B11,P05-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,B12,P05-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,C01,P06-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot19271,C02,P06-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot5702,C03,P06-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot6039,C04,P06-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot6481,C05,P06-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,C06,P06-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,C07,P06-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot16822,C08,P06-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot16979,C09,P06-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot17068,C10,P06-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot3043,C11,P06-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,C12,P06-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,D01,P06-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot19248,D02,P06-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot5706,D03,P06-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot6094,D04,P06-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot6632,D05,P06-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,D06,P06-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,D07,P06-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot16832,D08,P06-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot16908,D09,P06-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot17086,D10,P06-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot3044,D11,P06-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,D12,P06-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,E01,P07-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot19280,E02,P07-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot6722,E03,P07-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot16428,E04,P07-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot16797,E05,P07-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,E06,P07-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,E07,P07-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot16833,E08,P07-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
414dot2,E09,P07-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot816,E10,P07-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot3051,E11,P07-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,E12,P07-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,F01,P07-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot19296,F02,P07-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot6908,F03,P07-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot16504,F04,P07-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot16718,F05,P07-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,F06,P07-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,F07,P07-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot16906,F08,P07-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
414dot2,F09,P07-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot842,F10,P07-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot3055,F11,P07-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,F12,P07-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,G01,P08-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot19225,G02,P08-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot6887,G03,P08-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot16739,G04,P08-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot16727,G05,P08-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,G06,P08-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,G07,P08-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot16979,G08,P08-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot20949,G09,P08-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot3003,G10,P08-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot3059,G11,P08-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,G12,P08-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,H01,P08-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot19281,H02,P08-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot6850,H03,P08-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot16732,H04,P08-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot16807,H05,P08-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,H06,P08-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,H07,P08-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot16908,H08,P08-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot20949,H09,P08-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot3004,H10,P08-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot3060,H11,P08-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,H12,P08-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,A01,P09-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot3061,A02,P09-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot9531,A03,P09-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot9583,A04,P09-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot8854,A05,P09-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,A06,P09-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,A07,P09-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot8909,A08,P09-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot8920,A09,P09-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot8937,A10,P09-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot9019,A11,P09-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,A12,P09-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,B01,P09-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot3067,B02,P09-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot9539,B03,P09-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot9585,B04,P09-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot8857,B05,P09-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,B06,P09-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,B07,P09-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot8911,B08,P09-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot8924,B09,P09-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot8940,B10,P09-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot9020,B11,P09-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,B12,P09-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,C01,P10-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot3075,C02,P10-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot9540,C03,P10-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot9588,C04,P10-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot8872,C05,P10-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,C06,P10-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,C07,P10-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot8916,C08,P10-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot8926,C09,P10-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot8947,C10,P10-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot9021,C11,P10-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,C12,P10-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,D01,P10-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot4843,D02,P10-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot9543,D03,P10-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot9593,D04,P10-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot8873,D05,P10-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,D06,P10-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,D07,P10-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot8918,D08,P10-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot8932,D09,P10-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot8955,D10,P10-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot9022,D11,P10-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
